symbol,name,sector,industry,market_cap
OSIS,"OSI Systems, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
OSK,Oshkosh Corporation,Industrials,Machinery,Large Cap
OSTK,"Overstock.com, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,Small Cap
OTIS,Otis Worldwide Corporation,Industrials,Machinery,Large Cap
OUST,"Ouster, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
OVV,Ovintiv Inc. (DE),Energy,"Oil, Gas & Consumable Fuels",Large Cap
OWLT,Owlet Inc. Class A Common Stock,Health Care,Health Care Technology,Small Cap
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
OXSQG,Oxford Square Capital Corp. 5.50% Notes due 2028,Consumer Staples,Household Products,Small Cap
OXY,Occidental Petroleum Corporatio,Energy,"Oil, Gas & Consumable Fuels",Large Cap
P,Everpure Inc.,Industrials,Machinery,Large Cap
PAA,"Plains All American Pipeline, L.P.",Energy,"Oil, Gas & Consumable Fuels",Large Cap
PACB,"Pacific Biosciences of California, Inc.",Health Care,Biotechnology,Small Cap
PACK,Ranpak Holdings Corp.,Consumer Discretionary,Distributors,Small Cap
PACS,PACS Group Inc.,Health Care,Health Care Providers & Services,Mid Cap
PAG,"Penske Automotive Group, Inc.",Consumer Discretionary,Automobiles,Large Cap
PAGP,"Plains GP Holdings, L.P.",Energy,"Oil, Gas & Consumable Fuels",Mid Cap
PAHC,Phibro Animal Health Corporation Class A,Health Care,Pharmaceuticals,Mid Cap
PANL,"Pangaea Logistics Solutions, Ltd.",Industrials,Marine,Small Cap
PAR,PAR Technology Corporation,Information Technology,Software,Small Cap
PARR,"Par Pacific Holdings, Inc.",Energy,"Oil, Gas & Consumable Fuels",Mid Cap
PATH,"UiPath, Inc. Class A",Information Technology,Software,Mid Cap
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Automobiles,Mid Cap
PAY,Paymentus Holdings Inc. Class A Common Stock,Information Technology,Software,Mid Cap
PAYC,"Paycom Software, Inc.",Information Technology,Software,Mid Cap
PAYO,Payoneer Global Inc. Common Stock,Information Technology,Software,Small Cap
PAYX,"Paychex, Inc.",Industrials,Professional Services,Large Cap
PBF,PBF Energy Inc.,Energy,"Oil, Gas & Consumable Fuels",Mid Cap
PBFX,PBF Logistics LP,Energy,"Oil, Gas & Consumable Fuels",Small Cap
PBH,Prestige Consumer Healthcare Inc.,Health Care,Health Care Providers & Services,Mid Cap
PBI,Pitney Bowes Inc.,Industrials,Commercial Services & Supplies,Small Cap
PBPB,Potbelly Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
PBT,Permian Basin Royalty Trust,Energy,"Oil, Gas & Consumable Fuels",Small Cap
PCAR,PACCAR Inc,Industrials,Machinery,Large Cap
PCOR,Procore Technologies Inc. Common Stock,Information Technology,Software,Mid Cap
PCRX,"Pacira Biosciences, Inc.",Health Care,Pharmaceuticals,Small Cap
PCT,"PureCycle Technologies, Inc.",Industrials,Construction & Engineering,Small Cap
PCTTU,"PureCycle Technologies, Inc.",Industrials,Construction & Engineering,Small Cap
PCTY,Paylocity Holding Corporation,Information Technology,Software,Mid Cap
PCVX,"Vaxcyte, Inc.",Health Care,Biotechnology,Mid Cap
PD,"PagerDuty, Inc.",Information Technology,Software,Small Cap
